,gu,dong,code,income_level,pop_density,address,x,y
256,강서구,공항동,1150062000,6,2600,서울시 강서구 공항동,37.5542807,126.7970146
257,강서구,방화1동,1150063000,7,43912,서울시 강서구 방화1동,37.5703967,126.8168004
258,강서구,방화2동,1150064000,6,3752,서울시 강서구 방화2동,126.806719,37.5667035
259,강서구,방화3동,1150064100,7,10280,서울시 강서구 방화3동,37.578697,126.8135408
260,구로구,신도림동,1153051000,8,25298,서울시 구로구 신도림동,37.50996749999999,126.8822494
261,구로구,구로1동,1153052000,7,21664,서울시 구로구 구로1동,37.5003742,126.8627604
262,구로구,구로2동,1153053000,6,20005,서울시 구로구 구로2동,37.4906813,126.8832031
263,구로구,구로3동,1153054000,7,25775,서울시 구로구 구로3동,37.4857376,126.8933134
264,구로구,구로4동,1153055000,6,56998,서울시 구로구 구로4동,37.4912855,126.8896338
265,구로구,구로5동,1153056000,7,32452,서울시 구로구 구로5동,37.5019652,126.8878603
266,구로구,가리봉동,1153059500,5,38125,서울시 구로구 가리봉동,37.4826987,126.888039
267,구로구,고척1동,1153072000,7,20847,서울시 구로구 고척1동,37.5007315,126.863272
268,구로구,고척2동,1153073000,7,28382,서울시 구로구 고척2동,37.501741,126.8507277
269,구로구,개봉1동,1153074000,6,25828,서울시 구로구 개봉1동,37.500167,126.8510677
270,구로구,개봉2동,1153075000,7,41295,서울시 구로구 개봉2동,37.4922632,126.8557315
271,구로구,개봉3동,1153076000,6,27167,서울시 구로구 개봉3동,37.4862822,126.8530035
272,구로구,오류1동,1153077000,6,39483,서울시 구로구 오류1동,37.4969319,126.8413087
273,구로구,오류2동,1153078000,6,11630,서울시 구로구 오류2동,37.4863998,126.8381998
274,구로구,수궁동,1153079000,6,9322,서울시 구로구 수궁동,37.4972347,126.8267526
275,금천구,가산동,1154551000,6,9704,서울시 금천구 가산동,37.47668609999999,126.8837772
276,금천구,독산1동,1154561000,7,20976,서울시 금천구 독산1동,37.470184,126.8970357
277,금천구,독산2동,1154562000,5,35675,서울시 금천구 독산2동,37.4637022,126.9022592
278,금천구,독산3동,1154563000,6,32517,서울시 금천구 독산3동,37.4759326,126.9045313
279,금천구,독산4동,1154564000,5,30893,서울시 금천구 독산4동,37.46736600000001,126.901941
280,금천구,시흥1동,1154567000,6,21465,서울시 금천구 시흥1동,37.4535473,126.90323
281,금천구,시흥2동,1154568000,7,17983,서울시 금천구 시흥2동,37.449608,126.914405
282,금천구,시흥3동,1154569000,6,10770,서울시 금천구 시흥3동,37.440274,126.9048714
283,금천구,시흥4동,1154570000,6,25536,서울시 금천구 시흥4동,37.4595713,126.9085718
284,금천구,시흥5동,1154571000,6,15016,서울시 금천구 시흥5동,37.44993669999999,126.9072019
285,영등포구,영등포본동,1156051500,7,24326,서울시 영등포구 영등포본동,37.5133944,126.9087206
286,영등포구,영등포동,1156053500,8,21560,서울시 영등포구 영등포동,37.5137832,126.9069186
287,영등포구,여의동,1156054000,9,4119,서울시 영등포구 여의동,37.5258796,126.9269198
288,영등포구,당산1동,1156055000,7,28699,서울시 영등포구 당산1동,37.5249503,126.8973399
289,영등포구,당산2동,1156056000,8,23435,서울시 영등포구 당산2동,37.5310368,126.8974759
290,영등포구,도림동,1156058500,7,24216,서울시 영등포구 도림동,37.5095782,126.9017319
291,영등포구,문래동,1156060500,8,21452,서울시 영등포구 문래동,37.516637,126.891505
292,영등포구,양평1동,1156061000,7,20753,서울시 영등포구 양평1동,37.5247784,126.8877006
293,영등포구,양평2동,1156062000,8,7601,서울시 영등포구 양평2동,37.5363881,126.8940365
294,영등포구,신길1동,1156063000,6,29924,서울시 영등포구 신길1동,37.5112627,126.9180603
295,영등포구,신길3동,1156065000,7,36013,서울시 영등포구 신길3동,37.5063744,126.9062327
296,영등포구,신길4동,1156066000,6,28529,서울시 영등포구 신길4동,37.508156,126.911625
297,영등포구,신길5동,1156067000,6,22702,서울시 영등포구 신길5동,37.5016093,126.9052605
298,영등포구,신길6동,1156068000,7,28579,서울시 영등포구 신길6동,37.5148885,126.9215624
