,gu,dong,code,income_level,pop_density,label,address
172,노원구,상계6·7동,1135069500,7.0,31214,1,서울특별시 노원구 상계6·7동
173,노원구,상계8동,1135070000,7.0,35751,1,서울특별시 노원구 상계8동
174,노원구,상계9동,1135071000,7.0,27060,1,서울특별시 노원구 상계9동
175,노원구,상계10동,1135072000,7.0,20774,0,서울특별시 노원구 상계10동
176,은평구,녹번동,1138051000,6.0,21459,3,서울특별시 은평구 녹번동
177,은평구,불광1동,1138052000,7.0,13073,0,서울특별시 은평구 불광1동
178,은평구,불광2동,1138053000,6.0,21414,3,서울특별시 은평구 불광2동
179,은평구,갈현1동,1138055100,6.0,25295,3,서울특별시 은평구 갈현1동
180,은평구,갈현2동,1138055200,6.0,31406,3,서울특별시 은평구 갈현2동
181,은평구,구산동,1138056000,6.0,24496,3,서울특별시 은평구 구산동
182,은평구,대조동,1138057000,6.0,32835,3,서울특별시 은평구 대조동
183,은평구,응암1동,1138058000,6.0,21378,3,서울특별시 은평구 응암1동
184,은평구,응암2동,1138059000,7.0,32649,1,서울특별시 은평구 응암2동
185,은평구,응암3동,1138060000,6.0,41398,3,서울특별시 은평구 응암3동
186,은평구,역촌동,1138062500,6.0,41802,3,서울특별시 은평구 역촌동
187,은평구,신사1동,1138063100,6.0,34012,3,서울특별시 은평구 신사1동
188,은평구,신사2동,1138063200,6.0,21875,3,서울특별시 은평구 신사2동
189,은평구,증산동,1138064000,7.0,19965,0,서울특별시 은평구 증산동
190,은평구,수색동,1138065000,7.0,6940,0,서울특별시 은평구 수색동
191,은평구,진관동,1138069000,8.0,5031,2,서울특별시 은평구 진관동
192,서대문구,천연동,1141052000,8.0,19282,2,서울특별시 서대문구 천연동
193,서대문구,북아현동,1141055500,8.0,38098,1,서울특별시 서대문구 북아현동
194,서대문구,충현동,1141056500,7.0,16172,0,서울특별시 서대문구 충현동
195,서대문구,신촌동,1141058500,7.0,9267,0,서울특별시 서대문구 신촌동
196,서대문구,연희동,1141061500,7.0,13554,0,서울특별시 서대문구 연희동
197,서대문구,홍제1동,1141062000,7.0,20323,0,서울특별시 서대문구 홍제1동
198,서대문구,홍제3동,1141064000,7.0,20272,0,서울특별시 서대문구 홍제3동
199,서대문구,홍제2동,1141065500,8.0,13876,2,서울특별시 서대문구 홍제2동
200,서대문구,홍은1동,1141066000,7.0,14495,0,서울특별시 서대문구 홍은1동
201,서대문구,홍은2동,1141068500,6.0,13783,0,서울특별시 서대문구 홍은2동
202,서대문구,남가좌1동,1141069000,8.0,33173,1,서울특별시 서대문구 남가좌1동
203,서대문구,남가좌2동,1141070000,7.0,33697,1,서울특별시 서대문구 남가좌2동
204,서대문구,북가좌1동,1141071000,8.0,34836,1,서울특별시 서대문구 북가좌1동
205,서대문구,북가좌2동,1141072000,6.0,40250,3,서울특별시 서대문구 북가좌2동
206,마포구,아현동,1144055500,9.0,33366,1,서울특별시 마포구 아현동
207,마포구,공덕동,1144056500,8.0,40108,1,서울특별시 마포구 공덕동
208,마포구,도화동,1144058500,8.0,36442,1,서울특별시 마포구 도화동
209,마포구,용강동,1144059000,8.0,26715,1,서울특별시 마포구 용강동
210,마포구,대흥동,1144060000,7.0,15426,0,서울특별시 마포구 대흥동
211,마포구,염리동,1144061000,7.0,31363,1,서울특별시 마포구 염리동
212,마포구,신수동,1144063000,8.0,30612,1,서울특별시 마포구 신수동
213,마포구,서강동,1144065500,8.0,18043,2,서울특별시 마포구 서강동
214,마포구,서교동,1144066000,7.0,15756,0,서울특별시 마포구 서교동
215,마포구,합정동,1144068000,7.0,11135,0,서울특별시 마포구 합정동
216,마포구,망원1동,1144069000,6.0,19342,0,서울특별시 마포구 망원1동
217,마포구,망원2동,1144070000,7.0,28934,1,서울특별시 마포구 망원2동
218,마포구,연남동,1144071000,7.0,26489,1,서울특별시 마포구 연남동
219,마포구,성산1동,1144072000,6.0,25205,3,서울특별시 마포구 성산1동
220,마포구,성산2동,1144073000,7.0,20063,0,서울특별시 마포구 성산2동
221,마포구,상암동,1144074000,8.0,3915,2,서울특별시 마포구 상암동
222,양천구,목1동,1147051000,9.0,22818,2,서울특별시 양천구 목1동
223,양천구,목2동,1147052000,7.0,30560,1,서울특별시 양천구 목2동
224,양천구,목3동,1147053000,7.0,43575,1,서울특별시 양천구 목3동
225,양천구,목4동,1147054000,7.0,47209,1,서울특별시 양천구 목4동
226,양천구,목5동,1147055000,9.0,23728,2,서울특별시 양천구 목5동
227,양천구,신월1동,1147056000,5.0,33497,3,서울특별시 양천구 신월1동
228,양천구,신월2동,1147057000,6.0,36272,3,서울특별시 양천구 신월2동
229,양천구,신월3동,1147058000,5.0,19217,3,서울특별시 양천구 신월3동
230,양천구,신월4동,1147059000,6.0,36588,3,서울특별시 양천구 신월4동
231,양천구,신월5동,1147060000,6.0,22565,3,서울특별시 양천구 신월5동
232,양천구,신월6동,1147061000,6.0,16134,0,서울특별시 양천구 신월6동
233,양천구,신월7동,1147061100,5.0,18153,3,서울특별시 양천구 신월7동
234,양천구,신정1동,1147062000,9.0,30896,2,서울특별시 양천구 신정1동
235,양천구,신정2동,1147063000,8.0,39779,1,서울특별시 양천구 신정2동
236,양천구,신정3동,1147064000,7.0,17703,0,서울특별시 양천구 신정3동
237,양천구,신정4동,1147065000,6.0,35229,3,서울특별시 양천구 신정4동
238,양천구,신정6동,1147067000,9.0,26358,2,서울특별시 양천구 신정6동
239,양천구,신정7동,1147068000,8.0,25540,2,서울특별시 양천구 신정7동
240,강서구,염창동,1150051000,8.0,24471,2,서울특별시 강서구 염창동
241,강서구,등촌1동,1150052000,7.0,40198,1,서울특별시 강서구 등촌1동
242,강서구,등촌2동,1150053000,7.0,23770,0,서울특별시 강서구 등촌2동
243,강서구,등촌3동,1150053500,7.0,41147,1,서울특별시 강서구 등촌3동
244,강서구,화곡1동,1150054000,6.0,48716,3,서울특별시 강서구 화곡1동
245,강서구,화곡2동,1150055000,6.0,41462,3,서울특별시 강서구 화곡2동
246,강서구,화곡3동,1150056000,7.0,44529,1,서울특별시 강서구 화곡3동
247,강서구,화곡4동,1150057000,6.0,26883,3,서울특별시 강서구 화곡4동
248,강서구,화곡본동,1150059000,6.0,32359,3,서울특별시 강서구 화곡본동
249,강서구,화곡6동,1150059100,7.0,22427,0,서울특별시 강서구 화곡6동
250,강서구,화곡8동,1150059300,6.0,50017,3,서울특별시 강서구 화곡8동
251,강서구,가양1동,1150060300,8.0,7267,2,서울특별시 강서구 가양1동
252,강서구,가양2동,1150060400,7.0,15140,0,서울특별시 강서구 가양2동
253,강서구,가양3동,1150060500,7.0,16363,0,서울특별시 강서구 가양3동
254,강서구,발산1동,1150061100,7.0,13009,0,서울특별시 강서구 발산1동
255,강서구,우장산동,1150061500,8.0,32947,1,서울특별시 강서구 우장산동
256,강서구,공항동,1150062000,6.0,2600,0,서울특별시 강서구 공항동
257,강서구,방화1동,1150063000,7.0,43912,1,서울특별시 강서구 방화1동
258,강서구,방화2동,1150064000,6.0,3752,0,서울특별시 강서구 방화2동
259,강서구,방화3동,1150064100,7.0,10280,0,서울특별시 강서구 방화3동
260,구로구,신도림동,1153051000,8.0,25298,2,서울특별시 구로구 신도림동
261,구로구,구로1동,1153052000,7.0,21664,0,서울특별시 구로구 구로1동
